id	educ	disability	AgeVariable	Gender	ScanPminute	Store	Weeks	AgeCAT	age1	age2	age3	age4	age5	age6	age7	age8	age9	age10	Training	ScanPminuteTime2
150	12	0	35	1	16	2	7	5	0	0	0	0	1	0	0	0	0	0	0	16.5
151	16	0	35	1	19.5	1	27	5	0	0	0	0	1	0	0	0	0	0	0	20
152	8	0	60	1	11	2	3	10	0	0	0	0	0	0	0	0	0	1	0	11.5
153	12	0	22	2	22	1	65	2	0	1	0	0	0	0	0	0	0	0	0	22.5
154	12	0	49	2	22	1	23	7	0	0	0	0	0	0	1	0	0	0	0	
155	15	1	26	1	21	1	67	3	0	0	1	0	0	0	0	0	0	0	0	21.5
156	15	1	27	1	16	2	4	3	0	0	1	0	0	0	0	0	0	0	0	16.5
157	12	1	22	2	22	1	98	2	0	1	0	0	0	0	0	0	0	0	0	
158	12	1	25	2	22	2	23	3	0	0	1	0	0	0	0	0	0	0	0	22.5
159	16	1	39	2	27	1	49	5	0	0	0	0	1	0	0	0	0	0	0	27.5
160	16	0	38	1	16	1	45	5	0	0	0	0	1	0	0	0	0	0	0	16.5
161	16	0	26	1	16	1	5	3	0	0	1	0	0	0	0	0	0	0	0	16.5
162	16	0	28	1	19.5	2	3	3	0	0	1	0	0	0	0	0	0	0	0	20
163	15	0	24	1	19.5	1	14	2	0	1	0	0	0	0	0	0	0	0	0	20
164	15	0	24	2	22	1	23	2	0	1	0	0	0	0	0	0	0	0	0	22.5
165	15	0	23	2	22	1	65	2	0	1	0	0	0	0	0	0	0	0	0	22.5
166	12	0	47	2	21	1	49	7	0	0	0	0	0	0	1	0	0	0	0	21.5
167	12	0	57	2	22	1	67	9	0	0	0	0	0	0	0	0	1	0	0	22.5
168	16	0	27	2	22	2	97	3	0	0	1	0	0	0	0	0	0	0	0	22.5
169	12	1	24	1	16	1	3	2	0	1	0	0	0	0	0	0	0	0	0	16.5
170	12	1	25	1	20.1	2	27	3	0	0	1	0	0	0	0	0	0	0	0	20.6
171	12	1	60	1	11	1	3	10	0	0	0	0	0	0	0	0	0	1	0	11.5
172	15	1	36	2	23.7	1	23	5	0	0	0	0	1	0	0	0	0	0	0	24.2
173	20	0	40	1	6	2	12	6	0	0	0	0	0	1	0	0	0	0	0	6.5
174	8	0	55	1	16	1	12	9	0	0	0	0	0	0	0	0	1	0	0	16.5
175	8	0	52	1	17	2	97	8	0	0	0	0	0	0	0	1	0	0	0	17.5
176	16	0	27	2	22	1	23	3	0	0	1	0	0	0	0	0	0	0	0	22.5
177	12	0	27	2	22	1	49	3	0	0	1	0	0	0	0	0	0	0	0	22.5
178	12	0	52	2	22	2	22	8	0	0	0	0	0	0	0	1	0	0	0	22.5
179	12	1	25	1	17	1	27	3	0	0	1	0	0	0	0	0	0	0	0	17.5
180	12	1	30	2	22	2	49	4	0	0	0	1	0	0	0	0	0	0	0	22.5
181	12	1	51	2	22	1	23	8	0	0	0	0	0	0	0	1	0	0	0	22.5
182	12	1	46	2	22	1	34	7	0	0	0	0	0	0	1	0	0	0	0	22.5
183	15	0	29	1	18	1	20	3	0	0	1	0	0	0	0	0	0	0	0	18.5
184	15	0	25	1	19	2	12	3	0	0	1	0	0	0	0	0	0	0	0	19.5
185	8	0	59	1	16	1	27	9	0	0	0	0	0	0	0	0	1	0	0	16.5
186	15	0	25	1	19.5	1	67	3	0	0	1	0	0	0	0	0	0	0	0	20
187	16	0	26	1	17	1	14	3	0	0	1	0	0	0	0	0	0	0	0	17.5
188	12	0	56	2	8	1	49	9	0	0	0	0	0	0	0	0	1	0	0	8.5
189	12	0	39	2	22	2	97	5	0	0	0	0	1	0	0	0	0	0	0	22.5
190	8	0	57	2	22	2	15	9	0	0	0	0	0	0	0	0	1	0	0	22.5
191	12	0	58	2	19	1	7	9	0	0	0	0	0	0	0	0	1	0	0	19.5
192	12	1	40	1	16	2	14	6	0	0	0	0	0	1	0	0	0	0	0	16.5
193	12	1	23	2	22	2	23	2	0	1	0	0	0	0	0	0	0	0	0	22.5
194	15	1	51	2	22	1	49	8	0	0	0	0	0	0	0	1	0	0	0	22.5
195	12	1	34	2	22	1	15	4	0	0	0	1	0	0	0	0	0	0	0	22.5
196	16	1	43	2	22	1	22	6	0	0	0	0	0	1	0	0	0	0	0	22.5
197	15	0	27	1	17	2	45	3	0	0	1	0	0	0	0	0	0	0	0	17.5
198	19	0	37	1	13	1	45	5	0	0	0	0	1	0	0	0	0	0	0	13.5
199	16	0	32	1	16	2	1	4	0	0	0	1	0	0	0	0	0	0	0	16.5
200	17	0	26	1	18	2	3	3	0	0	1	0	0	0	0	0	0	0	0	18.5
201	12	0	34	1	26	2	45	4	0	0	0	1	0	0	0	0	0	0	0	26.5
202	15	0	26	1	20	1	7	3	0	0	1	0	0	0	0	0	0	0	0	20.5
203	12	0	25	1	16	1	2	3	0	0	1	0	0	0	0	0	0	0	0	16.5
204	15	0	29	1	16	1	5	3	0	0	1	0	0	0	0	0	0	0	0	16.5
205	16	0	45	1	22	1	27	7	0	0	0	0	0	0	1	0	0	0	0	22.5
206	12	0	46	1	22	1	45	7	0	0	0	0	0	0	1	0	0	0	0	22.5
207	15	0	30	1	25	1	3	4	0	0	0	1	0	0	0	0	0	0	0	25.5
208	12	0	21	2	22	1	97	2	0	1	0	0	0	0	0	0	0	0	0	22.5
335	8	0	59	1	19.5	2	67	9	0	0	0	0	0	0	0	0	1	0	0	20
336	16	0	26	1	19	1	14	3	0	0	1	0	0	0	0	0	0	0	0	19.5
337	12	0	20	2	22	2	97	2	0	1	0	0	0	0	0	0	0	0	0	22.5
338	8	0	51	2	22	1	97	8	0	0	0	0	0	0	0	1	0	0	0	22.5
339	8	0	47	2	22	2	67	7	0	0	0	0	0	0	1	0	0	0	0	22.5
340	8	0	55	2	22	2	34	9	0	0	0	0	0	0	0	0	1	0	0	22.5
341	12	1	45	1	26	1	103	7	0	0	0	0	0	0	1	0	0	0	0	26.5
342	12	1	41	2	22	1	23	6	0	0	0	0	0	1	0	0	0	0	0	22.5
343	16	0	36	1	17	1	45	5	0	0	0	0	1	0	0	0	0	0	0	17.5
344	12	0	26	1	16	1	2	3	0	0	1	0	0	0	0	0	0	0	0	16.5
345	12	0	20	2	19	1	27	2	0	1	0	0	0	0	0	0	0	0	0	19.5
346	15	0	21	2	22	1	23	2	0	1	0	0	0	0	0	0	0	0	0	22.5
347	12	0	45	2	21	2	67	7	0	0	0	0	0	0	1	0	0	0	0	21.5
348	16	0	27	2	22	1	22	3	0	0	1	0	0	0	0	0	0	0	0	22.5
349	17	0	51	2	22	2	97	8	0	0	0	0	0	0	0	1	0	0	0	22.5
350	12	0	50	2	22	1	22	8	0	0	0	0	0	0	0	1	0	0	0	22.5
351	12	0	24	2	22	1	67	2	0	1	0	0	0	0	0	0	0	0	0	22.5
352	8	0	56	2	25	1	32	9	0	0	0	0	0	0	0	0	1	0	0	25.5
353	12	1	34	1	22	2	45	4	0	0	0	1	0	0	0	0	0	0	0	22.5
354	12	1	43	2	22	1	23	6	0	0	0	0	0	1	0	0	0	0	0	22.5
355	15	0	28	1	17	1	12	3	0	0	1	0	0	0	0	0	0	0	0	17.5
356	15	0	24	1	17	2	7	2	0	1	0	0	0	0	0	0	0	0	0	17.5
357	8	0	58	2	21	2	14	9	0	0	0	0	0	0	0	0	1	0	0	21.5
358	15	0	45	2	22	1	49	7	0	0	0	0	0	0	1	0	0	0	0	22.5
359	12	0	48	2	28	1	98	7	0	0	0	0	0	0	1	0	0	0	0	28.5
360	12	0	21	2	22	1	49	2	0	1	0	0	0	0	0	0	0	0	0	22.5
361	12	0	23	2	22	1	23	2	0	1	0	0	0	0	0	0	0	0	0	22.5
362	8	0	52	2	22	1	23	8	0	0	0	0	0	0	0	1	0	0	0	22.5
363	16	1	35	1	18	1	3	5	0	0	0	0	1	0	0	0	0	0	0	18.5
364	12	1	42	2	22	1	49	6	0	0	0	0	0	1	0	0	0	0	0	22.5
365	8	1	41	2	27	2	97	6	0	0	0	0	0	1	0	0	0	0	0	27.5
366	12	1	28	2	22	1	98	3	0	0	1	0	0	0	0	0	0	0	0	22.5
367	12	1	47	2	22	1	67	7	0	0	0	0	0	0	1	0	0	0	0	22.5
368	12	1	46	2	17	2	98	7	0	0	0	0	0	0	1	0	0	0	0	17.5
369	14	0	22	1	17	2	27	2	0	1	0	0	0	0	0	0	0	0	0	17.5
370	16	0	27	2	22	2	65	3	0	0	1	0	0	0	0	0	0	0	0	22.5
371	16	0	23	2	22	1	20	2	0	1	0	0	0	0	0	0	0	0	0	22.5
372	15	0	54	1	17	2	7	8	0	0	0	0	0	0	0	1	0	0	0	17.5
373	12	0	40	1	22	2	3	6	0	0	0	0	0	1	0	0	0	0	0	22.5
374	15	0	22	1	16	2	14	2	0	1	0	0	0	0	0	0	0	0	0	16.5
375	12	0	23	1	16	1	3	2	0	1	0	0	0	0	0	0	0	0	0	16.5
376	15	0	25	1	21	1	49	3	0	0	1	0	0	0	0	0	0	0	0	21.5
377	15	0	24	1	27	1	20	2	0	1	0	0	0	0	0	0	0	0	0	27.5
378	8	0	59	2	22	2	12	9	0	0	0	0	0	0	0	0	1	0	0	22.5
379	8	0	51	2	22	2	18	8	0	0	0	0	0	0	0	1	0	0	0	22.5
380	12	0	48	2	22	1	18	7	0	0	0	0	0	0	1	0	0	0	0	22.5
381	17	1	43	1	22	1	12	6	0	0	0	0	0	1	0	0	0	0	0	22.5
382	12	1	30	1	14	2	27	4	0	0	0	1	0	0	0	0	0	0	0	14.5
383	17	1	28	1	22	1	18	3	0	0	1	0	0	0	0	0	0	0	0	22.5
384	12	1	34	2	27	2	65	4	0	0	0	1	0	0	0	0	0	0	0	27.5
385	12	0	59	1	18	1	20	9	0	0	0	0	0	0	0	0	1	0	0	18.5
386	8	0	55	1	22	2	7	9	0	0	0	0	0	0	0	0	1	0	0	22.5
387	19	0	25	1	18	1	45	3	0	0	1	0	0	0	0	0	0	0	0	18.5
388	14	0	31	1	24	2	4	4	0	0	0	1	0	0	0	0	0	0	0	24.5
389	19	0	30	1	19	1	27	4	0	0	0	1	0	0	0	0	0	0	0	19.5
390	15	0	21	2	22	2	67	2	0	1	0	0	0	0	0	0	0	0	0	22.5
391	12	0	21	2	22	2	97	2	0	1	0	0	0	0	0	0	0	0	0	22.5
392	12	0	18	2	13	1	27	1	1	0	0	0	0	0	0	0	0	0	0	13.5
393	12	0	20	2	19.5	2	20	2	0	1	0	0	0	0	0	0	0	0	0	20
394	8	0	18	2	20	1	67	1	1	0	0	0	0	0	0	0	0	0	0	20.5
395	12	0	18	2	11	2	4	1	1	0	0	0	0	0	0	0	0	0	0	11.5
396	12	0	19	2	19.5	1	49	1	1	0	0	0	0	0	0	0	0	0	0	20
397	12	0	20	2	21	1	14	2	0	1	0	0	0	0	0	0	0	0	0	21.5
398	12	0	19	2	18	2	27	1	1	0	0	0	0	0	0	0	0	0	0	18.5
399	12	0	20	2	16	2	45	2	0	1	0	0	0	0	0	0	0	0	0	16.5
400	12	0	20	2	17	1	45	2	0	1	0	0	0	0	0	0	0	0	0	17.5
401	12	0	19	2	16	2	45	1	1	0	0	0	0	0	0	0	0	0	0	16.5
402	12	0	20	2	22	1	7	2	0	1	0	0	0	0	0	0	0	0	0	22.5
403	12	1	19	2	19	2	20	1	1	0	0	0	0	0	0	0	0	0	0	19.5
404	12	1	36	2	25	2	97	5	0	0	0	0	1	0	0	0	0	0	0	25.5
405	12	1	45	2	22	2	49	7	0	0	0	0	0	0	1	0	0	0	0	22.5
406	17	0	24	1	19	1	7	2	0	1	0	0	0	0	0	0	0	0	0	19.5
407	15	0	24	1	20	2	14	2	0	1	0	0	0	0	0	0	0	0	0	20.5
408	19	0	25	1	16	2	4	3	0	0	1	0	0	0	0	0	0	0	0	16.5
409	19	0	27	1	15	1	20	3	0	0	1	0	0	0	0	0	0	0	0	15.5
410	8	0	48	2	23.7	2	97	7	0	0	0	0	0	0	1	0	0	0	0	24.2
411	12	0	58	2	21	2	67	9	0	0	0	0	0	0	0	0	1	0	0	21.5
412	12	0	19	2	19.5	2	7	1	1	0	0	0	0	0	0	0	0	0	0	20
413	16	0	23	2	22	2	67	2	0	1	0	0	0	0	0	0	0	0	0	22.5
414	8	1	29	1	16	2	25	3	0	0	1	0	0	0	0	0	0	0	0	16.5
415	15	1	26	1	16	2	25	3	0	0	1	0	0	0	0	0	0	0	0	16.5
416	15	0	25	1	20	1	67	3	0	0	1	0	0	0	0	0	0	0	0	20.5
417	15	0	22	1	17	1	45	2	0	1	0	0	0	0	0	0	0	0	0	17.5
418	15	0	24	1	20.1	1	20	2	0	1	0	0	0	0	0	0	0	0	0	20.6
419	15	0	25	1	20.1	1	45	3	0	0	1	0	0	0	0	0	0	0	0	20.6
420	19	0	32	1	19	1	45	4	0	0	0	1	0	0	0	0	0	0	0	19.5
421	15	0	28	1	16	2	3	3	0	0	1	0	0	0	0	0	0	0	0	16.5
422	15	0	26	1	22	2	12	3	0	0	1	0	0	0	0	0	0	0	0	22.5
423	12	0	53	2	22	2	67	8	0	0	0	0	0	0	0	1	0	0	0	22.5
452	12	0	36	1	16	2	20	5	0	0	0	0	1	0	0	0	0	0	0	16.5
453	15	0	59	1	21	1	3	9	0	0	0	0	0	0	0	0	1	0	0	21.5
454	19	0	24	1	5	2	3	2	0	1	0	0	0	0	0	0	0	0	0	5.5
455	16	0	26	1	19.5	2	27	3	0	0	1	0	0	0	0	0	0	0	0	20
456	19	0	30	1	14	1	7	4	0	0	0	1	0	0	0	0	0	0	0	14.5
457	15	0	21	1	20.1	1	7	2	0	1	0	0	0	0	0	0	0	0	0	20.6
458	19	0	24	1	18	1	12	2	0	1	0	0	0	0	0	0	0	0	0	18.5
459	12	0	19	2	16	1	45	1	1	0	0	0	0	0	0	0	0	0	0	
460	12	0	20	2	22	2	12	2	0	1	0	0	0	0	0	0	0	0	0	22.5
461	8	0	46	2	22	1	32	7	0	0	0	0	0	0	1	0	0	0	0	22.5
462	16	0	26	2	22	2	67	3	0	0	1	0	0	0	0	0	0	0	0	22.5
463	15	0	55	2	22	1	20	9	0	0	0	0	0	0	0	0	1	0	0	22.5
464	19	0	27	1	19	1	49	3	0	0	1	0	0	0	0	0	0	0	0	19.5
465	12	0	27	1	17	2	20	3	0	0	1	0	0	0	0	0	0	0	0	17.5
466	12	0	41	2	32	1	67	6	0	0	0	0	0	1	0	0	0	0	0	32.5
467	16	0	22	2	22	1	49	2	0	1	0	0	0	0	0	0	0	0	0	22.5
468	16	0	24	2	22	2	49	2	0	1	0	0	0	0	0	0	0	0	0	22.5
469	15	0	25	2	22	2	65	3	0	0	1	0	0	0	0	0	0	0	0	22.5
