ApplicantCode	Gender	ATSIyn	ShortlistedNY	Interviewed	FemaleONpanel	OfferNY	AcceptNY	JoinYN
195	1	1	0	0				
196	1	1	0	0				
197	1	1	0	0				
198	1	1	0	0				
199	1	1	0	0				
200	1	1	0	0				
201	1	1	0	0				
202	1	2	0	0				
203	1	2	0	0				
204	1	2	0	0				
205	2	2	0	0				
206	2	2	0	0				
207	2	2	0	0				
208	2	2	0	0				
209	2	2	0	0				
210	2	2	0	0				
211	2	2	0	0				
212	2	1	0	0				
213	2	1	0	0				
214	2	1	0	0				
215	2	1	0	0				
216	2	1	0	0				
217	2	1	0	0				
218	2	1	0	0				
219	2	1	0	0				
220	2	1	0	0				
221	2	1	0	0				
222	2	1	0	0				
223	2	1	0	0				
224	2	1	0	0				
225	2	1	0	0				
226	2	1	0	0				
227	2	1	0	0				
228	2	1	0	0				
229	2	2	0	0				
230	2	2	0	0				
231	2	2	0	0				
232	2	2	0	0				
233	2	2	0	0				
234	2	2	0	0				
235	2	2	0	0				
236	2	2	0	0				
237	2	2	0	0				
238	2	2	0	0				
239	2	1	0	0				
240	2	1	0	0				
241	2	1	0	0				
242	2	1	0	0				
243	2	1	0	0				
244	2	1	0	0				
245	2	1	0	0				
246	2	1	0	0				
247	2	1	0	0				
248	2	1	0	0				
249	2	1	0	0				
250	2	1	0	0				
251	2	1	0	0				
252	2	1	0	0				
253	2	1	0	0				
254	2	1	0	0				
255	2	1	0	0				
256	2	2	0	0				
257	2	2	0	0				
258	2	2	0	0				
259	2	2	0	0				
260	2	2	0	0				
261	2	2	0	0				
262	2	1	0	0				
263	2	1	0	0				
264	2	1	0	0				
265	2	1	0	0				
266	2	1	0	0				
267	2	1	0	0				
268	2	1	0	0				
269	2	1	0	0				
270	2	1	0	0				
271	2	1	0	0				
272	2	1	0	0				
273	2	1	0	0				
274	2	1	0	0				
275	2	1	0	0				
276	2	1	0	0				
277	2	1	0	0				
278	2	1	0	0				
279	2	2	0	0				
280	2	2	0	0				
